step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
336,19776,336,0.0906959143207132,0.0,0.6666666666666666,,,,,
337,19841,337,0.055958706407591305,0.0,0.5,0.06350506291521014,1.0,1.0,,
338,19914,338,0.05298256131988536,0.0,0.6666666666666666,,,,,
339,19947,339,0.04335999138349962,1.0,1.0,,,,,
340,20004,340,0.07069152910755293,0.0,0.5,,,,,
341,20037,341,0.044821069119043384,1.0,1.0,,,,,
342,20086,342,0.028454627216269728,1.0,1.0,,,,,
343,20127,343,0.04807088029294391,1.0,1.0,,,,,
344,20160,344,0.08363209617353276,0.0,0.6666666666666666,,,,,
345,20233,345,0.020999876758392523,1.0,1.0,0.036800097508579106,1.0,1.0,,
346,20282,346,0.019185124911358188,1.0,1.0,,,,,
347,20371,347,0.03188146719061479,1.0,1.0,,,,,
348,20412,348,0.025211542116740027,1.0,1.0,,,,,
349,20501,349,0.027601496235497923,1.0,1.0,,,,,
350,20518,350,0.19989985884923953,0.0,0.6666666666666666,,,,,
351,20535,351,0.2006773652091215,0.0,0.6666666666666666,,,,,
352,20592,352,0.0817730240559779,0.0,0.0,,,,,
353,20649,353,0.041627916921450896,0.0,0.6666666666666666,0.04522750154494795,0.0,0.6666666666666666,,
354,20674,354,0.09616384145764945,0.0,0.6666666666666666,,,,,
355,20771,355,0.02760438373448096,1.0,1.0,,,,,
356,20844,356,0.029066173303096243,1.0,1.0,,,,,
357,20909,357,0.02753028254890069,1.0,1.0,,,,,
358,20950,358,0.10287540412934325,0.0,0.6666666666666666,,,,,
359,21015,359,0.026072534285694927,1.0,1.0,,,,,
360,21128,360,0.015314564434216403,1.0,1.0,,,,,
361,21217,361,0.02514199219292509,1.0,1.0,0.042712250804172736,0.0,0.6666666666666666,,
362,21298,362,0.047087695246606026,0.0,0.6666666666666666,,,,,
363,21387,363,0.02288414364939606,1.0,1.0,,,,,
364,21428,364,0.029438579579567883,1.0,1.0,,,,,
365,21517,365,0.027108842218612237,1.0,1.0,,,,,
366,21622,366,0.03111578773306974,1.0,1.0,,,,,
367,21647,367,0.05814294400052556,1.0,1.0,,,,,
368,21736,368,0.023364568764157167,1.0,1.0,,,,,
369,21785,369,0.03393104830765272,1.0,1.0,0.04192679615460899,0.0,0.5,,
370,21890,370,0.05248552039571363,0.0,0.6666666666666666,,,,,
371,21939,371,0.06728729947852116,0.0,0.6666666666666666,,,,,
372,21956,372,0.02301369157969021,1.0,1.0,,,,,
373,22037,373,0.022997676190992935,1.0,1.0,,,,,
374,22126,374,0.027926048250013664,1.0,1.0,,,,,
375,22231,375,0.024824134317514106,1.0,1.0,,,,,
376,22256,376,0.060002250086836274,0.0,0.6666666666666666,,,,,
377,22321,377,0.02768528855829118,1.0,1.0,0.03580597511647543,1.0,1.0,,
378,22370,378,0.032696181165883895,1.0,1.0,,,,,
379,22427,379,0.02621165059604469,1.0,1.0,,,,,
380,22484,380,0.017781640497279507,1.0,1.0,,,,,
381,22581,381,0.026366854385123588,1.0,1.0,,,,,
382,22678,382,0.018101002230832816,1.0,1.0,,,,,
383,22767,383,0.02925502871378823,1.0,1.0,,,,,
384,22864,384,0.02471616955624578,1.0,1.0,,,,,
385,22881,385,0.15319020623661345,0.0,0.5,0.3046013138780836,0.0,0.0,,
386,22922,386,0.02786117026314605,1.0,1.0,,,,,
387,23019,387,0.025524719940272007,1.0,1.0,,,,,
388,23076,388,0.026517871946666025,1.0,1.0,,,,,
389,23117,389,0.02380809535773483,1.0,1.0,,,,,
